Jun 03 21:38:27.754: vmx| Log for VMware Player pid=18636 version=2.5.1 build=build-126130 option=Release
Jun 03 21:38:27.755: vmx| Host codepage=UTF-8 encoding=UTF-8
Jun 03 21:38:27.755: vmx| Hostname=sorny
Jun 03 21:38:27.755: vmx| IP=127.0.0.1 (lo)
Jun 03 21:38:27.755: vmx| IP=192.168.1.90 (eth0)
Jun 03 21:38:27.755: vmx| IP=172.16.170.1 (vmnet1)
Jun 03 21:38:27.755: vmx| IP=172.16.96.1 (vmnet8)
Jun 03 21:38:27.755: vmx| Command line: "/usr/lib/vmware/bin/vmware-vmx" "-#" "product=8;name=VMware Player;version=2.5.1;buildnumber=126130;licensename=VMware Player;licenseversion=6.0 build-126130;" "-@" "pipe=/tmp/vmware-bombax/vmx034d9bf2d4a29683;readyEvent=147" "/home/bombax/workspace/so2/MS-DOS/MS-DOS.vmx"
Jun 03 21:38:27.755: vmx| Msg_SetLocale: HostLocale=UTF-8 UserLocale=NULL
Jun 03 21:38:27.755: vmx| Ready event: 147
Jun 03 21:38:27.809: vmx| UI Connecting to pipe '/tmp/vmware-bombax/vmx034d9bf2d4a29683' with user '(null)'
Jun 03 21:38:27.819: vmx| Setup symlink /var/run/vmware/34435ba59c3720bbbe04600b96f518cd -> /var/run/vmware/bombax_1000/1244075907755524_18636
Jun 03 21:38:27.819: vmx| Sig_Init already initialized 
Jun 03 21:38:27.821: vmx| Transitioned vmx/execState/val to poweredOff
Jun 03 21:38:27.821: vmx| VMMon_GetkHzEstimate: Calculated 2009230 kHz
Jun 03 21:38:27.822: vmx| CPU kHz estimates: vmmon 2009230, cpuinfo 2009169, cpufreq 0. Using 2009230 kHz
Jun 03 21:38:27.822: vmx| CPU # 0 TSC = 3161788388773
Jun 03 21:38:27.822: vmx| CPU # 1 TSC = 3161797432326
Jun 03 21:38:27.822: vmx| TSC delta 9043553
Jun 03 21:38:27.822: vmx| PTSC: RefClockToTSC 1000000Hz -> 2009230000Hz
Jun 03 21:38:27.822: vmx| PTSC: RefClockToTSC ((x * 4213660712) >> 21)
Jun 03 21:38:27.822: vmx| PTSC: using reference clock
Jun 03 21:38:27.823: vmx| CPUID[0] vendor: AuthcAMDenti
Jun 03 21:38:27.823: vmx| CPUID[0]   name: Dual Core AMD Opteron(tm) Processor 170   
Jun 03 21:38:27.823: vmx| CPUID[0] level 00000000, 0: 0x00000001 0x68747541 0x444d4163 0x69746e65
Jun 03 21:38:27.823: vmx| CPUID[0] level 00000001, 0: 0x00020f32 0x01020800 0x00000001 0x178bfbff
Jun 03 21:38:27.823: vmx| CPUID[0] level 80000000, 0: 0x80000018 0x68747541 0x444d4163 0x69746e65
Jun 03 21:38:27.823: vmx| CPUID[0] level 80000001, 0: 0x00020f32 0x00000b05 0x00000003 0xe3d3fbff
Jun 03 21:38:27.823: vmx| CPUID[0] level 80000002, 0: 0x6c617544 0x726f4320 0x4d412065 0x704f2044
Jun 03 21:38:27.823: vmx| CPUID[0] level 80000003, 0: 0x6f726574 0x6d74286e 0x72502029 0x7365636f
Jun 03 21:38:27.823: vmx| CPUID[0] level 80000004, 0: 0x20726f73 0x20303731 0x00002020 0x00000000
Jun 03 21:38:27.823: vmx| CPUID[0] level 80000005, 0: 0xff08ff08 0xff20ff20 0x40020140 0x40020140
Jun 03 21:38:27.823: vmx| CPUID[0] level 80000006, 0: 0x00000000 0x42004200 0x04008140 0x00000000
Jun 03 21:38:27.823: vmx| CPUID[0] level 80000007, 0: 0x00000000 0x00000000 0x00000000 0x0000000f
Jun 03 21:38:27.823: vmx| CPUID[0] level 80000008, 0: 0x00003028 0x00000000 0x00000001 0x00000000
Jun 03 21:38:27.823: vmx| CPUID[0] level 80000009, 0: 0x00000000 0x00000000 0x00000000 0x00000000
Jun 03 21:38:27.823: vmx| CPUID[0] level 8000000a, 0: 0x00000000 0x00000000 0x00000000 0x00000000
Jun 03 21:38:27.823: vmx| CPUID[0] level 8000000b, 0: 0x00000000 0x00000000 0x00000000 0x00000000
Jun 03 21:38:27.823: vmx| CPUID[0] level 8000000c, 0: 0x00000000 0x00000000 0x00000000 0x00000000
Jun 03 21:38:27.823: vmx| CPUID[0] level 8000000d, 0: 0x00000000 0x00000000 0x00000000 0x00000000
Jun 03 21:38:27.823: vmx| CPUID[0] level 8000000e, 0: 0x00000000 0x00000000 0x00000000 0x00000000
Jun 03 21:38:27.823: vmx| CPUID[0] level 8000000f, 0: 0x00000000 0x00000000 0x00000000 0x00000000
Jun 03 21:38:27.823: vmx| CPUID[0] level 80000010, 0: 0x00000000 0x00000000 0x00000000 0x00000000
Jun 03 21:38:27.823: vmx| CPUID[0] level 80000011, 0: 0x00000000 0x00000000 0x00000000 0x00000000
Jun 03 21:38:27.823: vmx| CPUID[0] level 80000012, 0: 0x00000000 0x00000000 0x00000000 0x00000000
Jun 03 21:38:27.823: vmx| CPUID[0] level 80000013, 0: 0x00000000 0x00000000 0x00000000 0x00000000
Jun 03 21:38:27.823: vmx| CPUID[0] level 80000014, 0: 0x00000000 0x00000000 0x00000000 0x00000000
Jun 03 21:38:27.823: vmx| CPUID[0] level 80000015, 0: 0x00000000 0x00000000 0x00000000 0x00000000
Jun 03 21:38:27.823: vmx| CPUID[0] level 80000016, 0: 0x00000000 0x00000000 0x00000000 0x00000000
Jun 03 21:38:27.823: vmx| CPUID[0] level 80000017, 0: 0x00000000 0x00000000 0x00000000 0x00000000
Jun 03 21:38:27.823: vmx| CPUID[0] level 80000018, 0: 0x00000000 0x00000000 0x00000000 0x00000000
Jun 03 21:38:27.823: vmx| CPUID[1] vendor: AuthcAMDenti
Jun 03 21:38:27.823: vmx| CPUID[1]   name: Dual Core AMD Opteron(tm) Processor 170   
Jun 03 21:38:27.823: vmx| CPUID[1] level 00000000, 0: 0x00000001 0x68747541 0x444d4163 0x69746e65
Jun 03 21:38:27.823: vmx| CPUID[1] level 00000001, 0: 0x00020f32 0x00020800 0x00000001 0x178bfbff
Jun 03 21:38:27.823: vmx| CPUID[1] level 80000000, 0: 0x80000018 0x68747541 0x444d4163 0x69746e65
Jun 03 21:38:27.823: vmx| CPUID[1] level 80000001, 0: 0x00020f32 0x00000b05 0x00000003 0xe3d3fbff
Jun 03 21:38:27.823: vmx| CPUID[1] level 80000002, 0: 0x6c617544 0x726f4320 0x4d412065 0x704f2044
Jun 03 21:38:27.823: vmx| CPUID[1] level 80000003, 0: 0x6f726574 0x6d74286e 0x72502029 0x7365636f
Jun 03 21:38:27.823: vmx| CPUID[1] level 80000004, 0: 0x20726f73 0x20303731 0x00002020 0x00000000
