Jun 04 13:41:01.119: vmx| Log for VMware Player pid=31326 version=2.5.1 build=build-126130 option=Release
Jun 04 13:41:01.120: vmx| Host codepage=UTF-8 encoding=UTF-8
Jun 04 13:41:01.120: vmx| Hostname=sorny
Jun 04 13:41:01.120: vmx| IP=127.0.0.1 (lo)
Jun 04 13:41:01.120: vmx| IP=192.168.1.90 (eth0)
Jun 04 13:41:01.120: vmx| IP=172.16.170.1 (vmnet1)
Jun 04 13:41:01.120: vmx| IP=172.16.96.1 (vmnet8)
Jun 04 13:41:01.120: vmx| Command line: "/usr/lib/vmware/bin/vmware-vmx" "-#" "product=8;name=VMware Player;version=2.5.1;buildnumber=126130;licensename=VMware Player;licenseversion=6.0 build-126130;" "-@" "pipe=/tmp/vmware-bombax/vmx034d9bf2d4a29683;readyEvent=150" "/home/bombax/workspace/so2/MS-DOS/MS-DOS.vmx"
Jun 04 13:41:01.120: vmx| Msg_SetLocale: HostLocale=UTF-8 UserLocale=NULL
Jun 04 13:41:01.120: vmx| Ready event: 150
Jun 04 13:41:01.266: vmx| UI Connecting to pipe '/tmp/vmware-bombax/vmx034d9bf2d4a29683' with user '(null)'
Jun 04 13:41:01.271: vmx| Setup symlink /var/run/vmware/34435ba59c3720bbbe04600b96f518cd -> /var/run/vmware/bombax_1000/1244133661120588_31326
Jun 04 13:41:01.286: vmx| Sig_Init already initialized 
Jun 04 13:41:01.296: vmx| Transitioned vmx/execState/val to poweredOff
Jun 04 13:41:01.309: vmx| VMMon_GetkHzEstimate: Calculated 2009227 kHz
Jun 04 13:41:01.310: vmx| CPU kHz estimates: vmmon 2009227, cpuinfo 2009369, cpufreq 0. Using 2009227 kHz
Jun 04 13:41:01.310: vmx| CPU # 0 TSC = 50702666913971
Jun 04 13:41:01.310: vmx| CPU # 1 TSC = 50702701812188
Jun 04 13:41:01.310: vmx| TSC delta 34898217
Jun 04 13:41:01.311: vmx| PTSC: RefClockToTSC 1000000Hz -> 2009227000Hz
Jun 04 13:41:01.311: vmx| PTSC: RefClockToTSC ((x * 4213654421) >> 21)
Jun 04 13:41:01.311: vmx| PTSC: using reference clock
Jun 04 13:41:01.322: vmx| CPUID[0] vendor: AuthcAMDenti
Jun 04 13:41:01.322: vmx| CPUID[0]   name: Dual Core AMD Opteron(tm) Processor 170   
Jun 04 13:41:01.323: vmx| CPUID[0] level 00000000, 0: 0x00000001 0x68747541 0x444d4163 0x69746e65
Jun 04 13:41:01.323: vmx| CPUID[0] level 00000001, 0: 0x00020f32 0x01020800 0x00000001 0x178bfbff
Jun 04 13:41:01.323: vmx| CPUID[0] level 80000000, 0: 0x80000018 0x68747541 0x444d4163 0x69746e65
Jun 04 13:41:01.323: vmx| CPUID[0] level 80000001, 0: 0x00020f32 0x00000b05 0x00000003 0xe3d3fbff
Jun 04 13:41:01.323: vmx| CPUID[0] level 80000002, 0: 0x6c617544 0x726f4320 0x4d412065 0x704f2044
Jun 04 13:41:01.323: vmx| CPUID[0] level 80000003, 0: 0x6f726574 0x6d74286e 0x72502029 0x7365636f
Jun 04 13:41:01.323: vmx| CPUID[0] level 80000004, 0: 0x20726f73 0x20303731 0x00002020 0x00000000
Jun 04 13:41:01.323: vmx| CPUID[0] level 80000005, 0: 0xff08ff08 0xff20ff20 0x40020140 0x40020140
Jun 04 13:41:01.323: vmx| CPUID[0] level 80000006, 0: 0x00000000 0x42004200 0x04008140 0x00000000
Jun 04 13:41:01.323: vmx| CPUID[0] level 80000007, 0: 0x00000000 0x00000000 0x00000000 0x0000000f
Jun 04 13:41:01.323: vmx| CPUID[0] level 80000008, 0: 0x00003028 0x00000000 0x00000001 0x00000000
Jun 04 13:41:01.323: vmx| CPUID[0] level 80000009, 0: 0x00000000 0x00000000 0x00000000 0x00000000
Jun 04 13:41:01.323: vmx| CPUID[0] level 8000000a, 0: 0x00000000 0x00000000 0x00000000 0x00000000
Jun 04 13:41:01.323: vmx| CPUID[0] level 8000000b, 0: 0x00000000 0x00000000 0x00000000 0x00000000
Jun 04 13:41:01.323: vmx| CPUID[0] level 8000000c, 0: 0x00000000 0x00000000 0x00000000 0x00000000
Jun 04 13:41:01.323: vmx| CPUID[0] level 8000000d, 0: 0x00000000 0x00000000 0x00000000 0x00000000
Jun 04 13:41:01.323: vmx| CPUID[0] level 8000000e, 0: 0x00000000 0x00000000 0x00000000 0x00000000
Jun 04 13:41:01.323: vmx| CPUID[0] level 8000000f, 0: 0x00000000 0x00000000 0x00000000 0x00000000
Jun 04 13:41:01.323: vmx| CPUID[0] level 80000010, 0: 0x00000000 0x00000000 0x00000000 0x00000000
Jun 04 13:41:01.323: vmx| CPUID[0] level 80000011, 0: 0x00000000 0x00000000 0x00000000 0x00000000
Jun 04 13:41:01.323: vmx| CPUID[0] level 80000012, 0: 0x00000000 0x00000000 0x00000000 0x00000000
Jun 04 13:41:01.323: vmx| CPUID[0] level 80000013, 0: 0x00000000 0x00000000 0x00000000 0x00000000
Jun 04 13:41:01.323: vmx| CPUID[0] level 80000014, 0: 0x00000000 0x00000000 0x00000000 0x00000000
Jun 04 13:41:01.323: vmx| CPUID[0] level 80000015, 0: 0x00000000 0x00000000 0x00000000 0x00000000
Jun 04 13:41:01.323: vmx| CPUID[0] level 80000016, 0: 0x00000000 0x00000000 0x00000000 0x00000000
Jun 04 13:41:01.323: vmx| CPUID[0] level 80000017, 0: 0x00000000 0x00000000 0x00000000 0x00000000
Jun 04 13:41:01.323: vmx| CPUID[0] level 80000018, 0: 0x00000000 0x00000000 0x00000000 0x00000000
Jun 04 13:41:01.323: vmx| CPUID[1] vendor: AuthcAMDenti
Jun 04 13:41:01.323: vmx| CPUID[1]   name: Dual Core AMD Opteron(tm) Processor 170   
Jun 04 13:41:01.323: vmx| CPUID[1] level 00000000, 0: 0x00000001 0x68747541 0x444d4163 0x69746e65
Jun 04 13:41:01.323: vmx| CPUID[1] level 00000001, 0: 0x00020f32 0x00020800 0x00000001 0x178bfbff
Jun 04 13:41:01.323: vmx| CPUID[1] level 80000000, 0: 0x80000018 0x68747541 0x444d4163 0x69746e65
Jun 04 13:41:01.323: vmx| CPUID[1] level 80000001, 0: 0x00020f32 0x00000b05 0x00000003 0xe3d3fbff
Jun 04 13:41:01.323: vmx| CPUID[1] level 80000002, 0: 0x6c617544 0x726f4320 0x4d412065 0x704f2044
Jun 04 13:41:01.323: vmx| CPUID[1] level 80000003, 0: 0x6f726574 0x6d74286e 0x72502029 0x7365636f
Jun 04 13:41:01.323: vmx| CPUID[1] level 80000004, 0: 0x20726f73 0x20303731 0x00002020 0x00000000
Jun 04 13:41:01.323: vmx| CPUID[1] level 80000005, 0: 0xff08ff08 0xff20ff20 0x40020140 0x40020140
Jun 04 13:41:01.323: vmx| CPUID[1] level 80000006, 0: 0x00000000 0x42004200 0x04008140 0x00000000
Jun 04 13:41:01.323: vmx| CPUID[1] level 80000007, 0: 0x00000000 0x00000000 0x00000000 0x0000000f
Jun 04 13:41:01.323: vmx| CPUID[1] level 80000008, 0: 0x00003028 0x00000000 0x00000001 0x00000000
Jun 04 13:41:01.323: vmx| CPUID[1] level 80000009, 0: 0x00000000 0x00000000 0x00000000 0x00000000
Jun 04 13:41:01.323: vmx| CPUID[1] level 8000000a, 0: 0x00000000 0x00000000 0x00000000 0x00000000
Jun 04 13:41:01.323: vmx| CPUID[1] level 8000000b, 0: 0x00000000 0x00000000 0x00000000 0x00000000
Jun 04 13:41:01.323: vmx| CPUID[1] level 8000000c, 0: 0x00000000 0x00000000 0x00000000 0x00000000
Jun 04 13:41:01.323: vmx| CPUID[1] level 8000000d, 0: 0x00000000 0x00000000 0x00000000 0x00000000
